Goles - tal - otro - e - u 
63 - 63 - 77 - 82 - 62
39 - 53 - 29 - 11 - 17
60 - 35 - 97 - 0 - 56
14 - 80 - 23 - 16 - 91
39 - 52 - 81 - 85 - 38
24 - 80 - 9 - 58 - 68
48 - 97 - 49 - 76 - 0
87 - 35 - 57 - 27 - 48
17 - 26 - 98 - 65 - 27
87 - 26 - 82 - 56 - 3
79 - 29 - 42 - 60 - 69
16 - 32 - 59 - 17 - 45
18 - 17 - 60 - 95 - 68
15 - 84 - 15 - 72 - 92
90 - 96 - 24 - 1 - 19
86 - 21 - 72 - 38 - 57
25 - 67 - 45 - 34 - 56
88 - 78 - 70 - 64 - 85
60 - 37 - 7 - 65 - 79
92 - 88 - 40 - 32 - 75
71 - 99 - 62 - 3 - 87
96 - 23 - 2 - 53 - 84
51 - 40 - 51 - 77 - 25
43 - 29 - 62 - 69 - 71
15 - 66 - 14 - 4 - 15
29 - 4 - 31 - 94 - 74
60 - 70 - 29 - 18 - 73
69 - 49 - 82 - 22 - 20
7 - 60 - 89 - 68 - 9
92 - 49 - 43 - 79 - 36
9 - 46 - 70 - 30 - 56
29 - 11 - 61 - 54 - 8
28 - 77 - 48 - 75 - 78
55 - 4 - 16 - 76 - 94
17 - 19 - 17 - 60 - 83
28 - 23 - 99 - 61 - 82
16 - 96 - 82 - 3 - 99
94 - 38 - 91 - 31 - 30
27 - 70 - 89 - 85 - 6
1 - 90 - 65 - 15 - 69
44 - 65 - 86 - 80 - 37
61 - 36 - 3 - 87 - 33
87 - 99 - 34 - 30 - 70
47 - 21 - 34 - 31 - 84
19 - 17 - 24 - 26 - 70
64 - 0 - 7 - 21 - 26
87 - 56 - 94 - 45 - 49
52 - 58 - 20 - 27 - 65
76 - 0 - 80 - 91 - 43
70 - 93 - 71 - 4 - 55
61 - 19 - 91 - 52 - 7
81 - 90 - 78 - 49 - 38
42 - 52 - 52 - 27 - 25
74 - 73 - 4 - 11 - 72
91 - 9 - 32 - 46 - 96
25 - 19 - 94 - 91 - 42
89 - 8 - 81 - 60 - 99
2 - 34 - 62 - 28 - 31
26 - 40 - 70 - 35 - 2
56 - 47 - 49 - 53 - 19
56 - 28 - 95 - 63 - 1
61 - 81 - 29 - 42 - 59
65 - 74 - 34 - 48 - 24
65 - 42 - 7 - 60 - 52
78 - 50 - 63 - 52 - 91
3 - 60 - 29 - 30 - 65
79 - 45 - 93 - 4 - 75
19 - 37 - 47 - 91 - 95
37 - 84 - 44 - 24 - 55
90 - 24 - 40 - 29 - 64
54 - 60 - 83 - 3 - 58
77 - 84 - 28 - 80 - 15
78 - 31 - 44 - 21 - 10
71 - 71 - 23 - 83 - 57
43 - 57 - 78 - 8 - 97
6 - 71 - 12 - 17 - 3
23 - 77 - 75 - 42 - 1
77 - 47 - 1 - 45 - 91
77 - 39 - 48 - 19 - 86
55 - 88 - 37 - 23 - 2
97 - 7 - 37 - 79 - 62
7 - 57 - 25 - 39 - 98
1 - 17 - 30 - 20 - 14
70 - 56 - 81 - 4 - 96
21 - 39 - 99 - 90 - 38
29 - 18 - 80 - 3 - 55
12 - 82 - 60 - 44 - 66
99 - 9 - 58 - 82 - 51
38 - 28 - 81 - 26 - 55
56 - 98 - 83 - 35 - 86
55 - 4 - 92 - 34 - 23
59 - 8 - 63 - 23 - 71
81 - 49 - 43 - 64 - 91
83 - 14 - 59 - 60 - 19
86 - 39 - 53 - 56 - 73
11 - 34 - 78 - 63 - 88
73 - 53 - 59 - 35 - 77
47 - 5 - 13 - 40 - 86
23 - 6 - 21 - 53 - 29
67 - 65 - 94 - 90 - 34
35 - 39 - 0 - 21 - 96
39 - 62 - 65 - 40 - 10
14 - 44 - 50 - 39 - 35
2 - 85 - 8 - 2 - 99
56 - 65 - 62 - 87 - 31
88 - 13 - 63 - 69 - 18
4 - 94 - 1 - 63 - 35
79 - 78 - 2 - 11 - 27
92 - 94 - 34 - 78 - 2
13 - 6 - 66 - 67 - 27
69 - 20 - 59 - 64 - 20
15 - 24 - 81 - 76 - 16
9 - 25 - 51 - 60 - 68
91 - 43 - 28 - 4 - 49
98 - 53 - 15 - 82 - 18
96 - 70 - 82 - 37 - 99
38 - 78 - 18 - 61 - 20
84 - 16 - 17 - 25 - 93
63 - 41 - 69 - 62 - 73
67 - 70 - 44 - 97 - 61
5 - 58 - 25 - 3 - 82
84 - 94 - 98 - 8 - 94
35 - 19 - 98 - 54 - 40
52 - 41 - 57 - 36 - 44
